0,Acacia confusa,"Some common names for it are acacia petit feuille, small Philippine acacia, Formosa acacia (Taiwan acacia) and Formosan koa. It grows to a height of 50 ft. The tree has become very common in many tropical Pacific areas, including Hawaii, where the species is considered invasive."
1,Acalypha hispida,"Commonly called chenille plant and red-hot cat's tail is a beautiful flowering plant that has a long bloom period. This plant is also known as the Philippines Medusa, pokok ekor kucing in Malay, Rabo de Gato in Portuguese, and shibjhul in Bengali. Acalypha hispida is cultivated as a house plant because of its attractiveness and brilliantly colored, furry flowers."
2,Alocasia macrorrhiza,"This is a species of flowering plant in the arum family, common names include giant taro, ape, giant alocasia, and pai. It is edible if cooked for a long time but its sap irritates the skin due to calcium oxalate crystals, or raphides which are needle like. The varieties recognized in Tahiti are the Ape oa, haparu, maota, and uahea. The giant heart-shaped leaves make impromptu umbrellas in tropical downpours."
3,Aloe vera,"Common names include Chinese Aloe, Indian Aloe, True Aloe, Barbados Aloe, Burn Aloe, First Aid Plant. An evergreen perennial, it originates from the Arabian Peninsula but grows wild in tropical climates around the world and is cultivated for agricultural and medicinal uses. The species is also used for decorative purposes and grows successfully indoors as a potted plant."
4,Alpinia purpurata,"The red ginger, also called ostrich plume and pink cone ginger, is a species with showy flowers on long brightly colored red bracts. It prefers partial shade and moist humid conditions, although it can tolerate full sun in some climates. It tends to like to be well watered and not left to dry out. Ginger can also be grown as a houseplant and its cut flowers can be used in arrangements."
5,Anthurium andreanum,"Common names for this species include tailflower, flamingo flower, and laceleaf. Its name comes from the Greek words anthos, meaning flower, and oura, meaning a tail. It is a monocotyledonous perennial, preferring warm, shady and humid climates, such as tropical rainforests. Its most characteristic feature as an ornamental is its brightly colored spathe leaf, and the protruding inflorescence called the spadix."
6,Azadirachta indica,"Commonly known as neem, nimtree or Indian lilac, is a tree in the mahogany family Meliaceae. Its fruits and seeds are the source of neem oil. It is typically grown in tropical and semi-tropical regions. Neem trees also grow in islands located in the southern part of Iran. Its fruits and seeds are the source of neem oil."
7,Bauhinia variegata,"Common names include orchid tree, camel's foot tree, kachnar, and mountain-ebony. This is a very popular ornamental tree in subtropical and tropical climates. It is a small to medium-sized tree growing up to 39 ft tall, deciduous in the dry season. This is a very popular ornamental tree in subtropical and tropical climates, grown for its scented flowers and also used as food item in South Asian cuisine."
8,Bixa orellana,"Also known as Achiote, this species is a shrub or small tree originating from the tropical region of the Americas. North, Central, and South American natives originally used the seeds to make red body paint and lipstick, as well as a spice. For this reason, the achiote is sometimes called the lipstick tree."
9,Blighia sapida,"The ackee, also known as achee, ackee apple or ayee is a fruit, which is the member of the Sapindaceae (soapberry family). Ackee is an evergreen tree that grows about 33 ft tall, with a short trunk and a dense crown. Although native to West Africa, the use of ackee in food is especially prominent in Jamaican cuisine. Ackee is the national fruit of Jamaica, and ackee and saltfish is the national dish."
10,Bombax glabra,"Also known as Malabar Chestnut, Pachira aquatica, Guiana chestnut, provision tree, saba nut, Monguba, Pumpo and is commercially sold under the names money tree and money plant. This tree is sometimes sold with a braided trunk and is commonly grown as a houseplant."
11,Bougainvillea sp,"Also known as great bougainvillea, is a species of flowering plant. This plant is also widely grown as an ornamental plant. It grows as a woody vine or shrub, reaching up to 40 feet with heart-shaped leaves and thorny, pubescent stems. The flowers are generally small, white, and inconspicuous, highlighted by several brightly colored modified leaves called bracts."
12,Brugmansia x candida,"Their large, fragrant flowers give them their common name of angel's trumpets. They are woody trees or shrubs, with pendulous flowers, and have no spines on their fruit. They are large shrubs or small trees, with semi-woody, often many-branched trunks. They can reach heights up to 36 ft. The leaves are alternately arranged along the stems with an entire or coarsely toothed margin, and are often covered with fine hairs. "
13,Caesalpinia pulcherrima,"Common names for this species include poinciana, peacock flower, red bird of paradise, dwarf poinciana, flos pavonis, flamboyant-de-jardin and ohai ali'i in Hawaiian. It is a shrub growing to 10 ft tall. In climates with few to no frosts, this plant will grow larger and is semievergreen. Grown in climates with light to moderate freezing, plant will die back to the ground depending on cold, but will rebound in mid- to late spring."
14,Calotropis gigantea,"Commonly called crown flower or giant milkweed, is a large shrub or small tree cultivated in tropical areas around the world. It is a large shrub growing to 13 ft tall. It has clusters of waxy flowers that are either white or lavender in colour. Each flower consists of five pointed petals and a small ""crown"" rising from the center which holds the stamens. "
15,Canna indica,"Commonly known as Indian shot, African arrowroot, edible canna, purple arrowroot, Sierra Leone arrowroot, is a plant species in the family Cannaceae. It has been cultivated by indigenous peoples of the Americas in tropical America for thousands of years. The place of the first domestication may have been the northern Andes, as may be true of other similar root crops."
16,Cardamine flexuosa,"Commonly known as wavy bittercress or wood bitter-cress, is an herbaceous annual, biennial, or short-lived perennial plant in the cabbage family (Cruciferae). This is a small flowering plant growing to a height of no more than 1 ft, usually perennial, with few short, erect stems. The leaves pinnate, mostly at the base, each with about 5 pairs of rounded leaflets."
17,Cardiospermum grandiflorum,"Commonly known as balloon vine, heart pea or heart seed, is a species of climbing plant. It can grow over 33 ft long and it has small white flowers. It is also a weed of forests and forest margins, urban bushland, open woodlands, roadsides, fence-lines, disturbed sites, waste areas and neglected gardens in tropical, sub-tropical and warmer temperate regions."
18,Cascabela thevetia,"Commonly known as yellow oleander or lucky nut, these flowers are used for religious purpose especially in the worshipping of the God Shiva. It is an evergreen tropical shrub or small tree. Its leaves are willow-like, linear-lanceolate, and glossy green in color. They are covered in waxy coating to reduce water loss (typical of oleanders). Its stem is green turning silver/gray as it ages."
19,Cassia bakeriana,"Commonly called pink shower or wishing tree, is a small flowering tree that typically matures up to 3 ft tall and as wide. This tree is now grown primarily as an ornamental in tropical and subtropical areas around the world. It is noted for producing a showy display of fragrant pink-purple flowers with yellow stamens."
20,Casuarina equisetifolia,"Common names include coast sheoak, beach casuarina, beach oak, whistling tree, horsetail she oak, horsetail beefwood, horsetail tree and agoho. Casuarina equisetifolia is an evergreen tree growing up to 115 ft tall. The foliage consists of slender bearing minute scale-leaves in whorls of 6–8. The flowers are produced in small catkin-like inflorescences."
21,Catharanthus roseus,"Commonly known as the Madagascar periwinkle, rose periwinkle, or rosy periwinkle, is a species of flowering plant in the dogbane family Apocynaceae. In the wild, it is an endangered plant; the main cause of decline is habitat destruction by slash and burn agriculture. It is also however widely cultivated and is naturalised in subtropical and tropical areas of the world."
22,Cattleya sp,"Common names are Cattleya Orchid and Corsage Orchid, like most orchids, priced for it's delicate and beautiful flowers. Epiphytic or terrestrial orchids with cylindrical rhizome from which the fleshy noodle-like roots grow. Pseudobulbs can be conical, spindle-shaped or cylindrical; with upright growth; one or two leaves growing from the top of them."
23,Cecropia obtusifolia,"Common Names include trumpet tree, pop-a-gun, tree-of-laziness, and snakewood tree. Though impressive silhouetted, it is an invasive species in the islands of Hawaii. It is used in traditional Amerindian medicine. Many other species of the genus Cecropia share the folk reputation of curing heart failure, cough, asthma and bronchitis. Cecropia obtusifolia has vasorelaxant activity due possibly to inhibition of angiotensin."
24,Chlorophytum comosum,"Often called spider plant but also known as airplane plant, St. Bernard's lily, spider ivy, ribbon plant, and hen and chickens is a species of perennial flowering plant. Chlorophytum comosum is a popular houseplant. The species with all-green leaves forms only a small proportion of plants sold. More common are two variegated cultivars: 'Vittatum' with a broad central white stripe and 'Variegatum' with white margins."
25,Clerodendrum quadriloculare,"Also called bronze-leaved clerodendrum, fire works, Philippine glorybower, shooting star or starburst bush, these plants produce flowers that can be a pest to eradicate. This is one of the tropic's most beautiful flowering shrubs. Large, dark-green and burgundy leaves are the backdrop for firework-resembling, pink and white flower clusters in late winter and early spring."
26,Clitoria ternatea,"Commonly known as Asian pigeonwings, bluebellvine, blue pea, butterfly pea, cordofan pea and Darwin pea, is a plant species belonging to the Fabaceae family. The flowers of this vine were imagined to have the shape of human female genitals, hence the Latin name of the genus ""Clitoria"", from ""clitoris""."
27,Cocos nucifera,"The coconut palm, is a monocot perennial member of the Arecaceae family, cultivated in tropical areas worldwide for its fruit and fiber. Coconut palms are medium-sized, solitary herbaceous plants. Although treelike in form, their trunks are composed not of wood, but of fibrous, stout, overlapping stems, and may grow to 80 ft tall."
28,Codiaeum variegatum,"Garden croton or variegated croton, this is a species of plant in the genus Codiaeum, which is a member of the family Euphorbiaceae. There are several hundred cultivars, selected and bred for their foliage. Depending on the cultivar, the leaves may be ovate to linear, entire to deeply lobed or crinkled, and variegated with green, white, purple, orange, yellow, red or pink."
29,Couroupita guianensis,"Known by a variety of names including cannonball tree, it is cultivated in many tropical areas because of its beautiful, fragrant flowers and large fruits. Couroupita guianensis is a tree that reaches heights of up to 110 ft tall. It is planted as an ornamental for its showy, scented flowers, and as a botanical specimen for its interesting fruit."
30,Crescentia cujete,"Commonly known as the Calabash Tree, is species of flowering plant with simple leaves, which are alternate or in fascicles on short shoots. The fruit, called Jícara, Bule, Tecomate, Guaje, Morro or Huacal in Mexico, is used to make small vessels for serving or drinking. ,The tree shares its common name with that of the vine calabash, or bottle gourd."
31,Crinum asiaticum,"Also known as poison bulb, giant crinum lily, grand crinum lily, or spider lily, this is a plant species widely planted in many warmer regions as an ornamental. It is a bulb-forming perennial producing an umbel of large, showy flowers that are prized by gardeners. All parts of the plant are, however, poisonous if ingested. Some reports indicate exposure to the sap may cause skin irritation."
32,Cupressus sempervirens,"Also known as Italian cypress, Tuscan cypress, Persian cypress, or pencil pine, this is a medium-sized coniferous evergreen tree to 115 ft tall. It is a medium-sized coniferous evergreen tree to 115 ft tall, with a conic crown with level branches and variably loosely hanging branchlets. It is very long-lived, with some trees reported to be over 1,000 years old."
33,Cyperus papyrus,"Known as papyrus, papyrus sedge, paper reed, Indian matting plant, and Nile grass, this is a species of aquatic flowering plant belonging to the family Cyperaceae. It has a very long history of use by humans, it is the source of papyrus paper. Parts of the plant can be eaten, and the highly buoyant stems can be made into boats. It is now often cultivated as an ornamental plant."
34,Delonix regia,"The flame tree is a species of flowering plant in the bean family Fabaceae. It is noted for its fern-like leaves and flamboyant display of flowers. In many tropical parts of the world it is grown as an ornamental tree and in English it is given the name royal poinciana or flamboyant. It is also one of several trees known as ""flame tree""."
35,Dendrobium sp,"These plants belong to a large and diverse genus of orchids. The name is from the Greek dendron (""tree"") and bios (""life""); it means ""one who lives on trees"". They are either epiphytic, or occasionally lithophytic. They have adapted to a wide variety of habitats, from the high altitudes in the Himalayan mountains to lowland tropical forests and even to the dry climate of the Australian desert."
36,Dichorisandra thyrsiflora,"The blue ginger is a species of tropical flowering plant which resembles ginger in growth and habit but is actually related to the spiderworts (the genus Tradescantia). it is cultivated for its handsome spotted stems and large shiny foliage which is held horizontally, surmounted by striking blue flowers. The Latin specific epithet thyrsiflora means “with flower clusters resembling thyme”."
37,Eichhornia crassipes,"Commonly known as common water hyacinth, is an aquatic plant and often a highly problematic invasive species. One of the fastest growing plants known, water hyacinth reproduces primarily by way of runners or stolons, which eventually form daughter plants. Each plant additionally can produce thousands of seeds each year, and these seeds can remain viable for more than 28 years."
38,Elaeocarpus grandis,"It is commonly known as blue marble tree, and also as blue fig or blue quandong, although it is not closely related to figs. The fruit of this species is round and blue, and it has a seed with deep convolutions in its shell. These are eaten whole by cassowaries, woompoo pigeon and spectacled flying foxes, which pass the nut undamaged."
39,Erythrina crista-galli,"Often known as the cockspur coral tree, is a flowering tree in the family Fabaceae. It is known by several common names such as ceibo, seíbo, corticeira, and bucaré. This species characteristically grows wild in gallery forest ecosystems along watercourses, as well as in swamps and wetlands. In urban settings, it is often planted in parks for its bright red flowers."
40,Eucalyptus deglupta,"Commonly known as the rainbow eucalyptus, Mindanao gum, or rainbow gum. It is characterized by multi-colored bark featuring hues of blue, purple, orange and maroon. It thrives in rich, medium to wet soil in full sun and is intolerant of frost. In its native habitat, it grows up to 6 ft wide and over  250 ft tall."
41,Eugenia uniflora,"Commonly known as pitanga, Suriname cherry, Brazilian cherry, Cayenne cherry, or Cerisier Carré, is a plant in the family Myrtaceae. It is characterized by multi-colored bark featuring hues of blue, purple, orange and maroon. It thrives in rich, medium to wet soil in full sun and is intolerant of frost."
42,Ficus microcarpa,"Also known as Chinese banyan, Malayan banyan, Indian laurel, curtain fig, or gajumaru, is a tree in the fig family Moraceae. The largest known specimen is at the Menehune Botanical Gardens near Nawiliwili, Kauai, Hawai'i which is 110 ft in height, 250 ft in crown spread, and having over one thousand aerial trunks."
43,Filicium decipiens,"Known as fern tree, Japanese fern tree, Pihimbiya, or Thika palm, is a slow-growing tree with a straight, short trunk and a dense, neatly shaped rounded crown. It is a pleasant and graceful specimen whose small size makes it ideal for your yard or home landscape. The tree is most easily recognizable for its odd foliage."
44,Gardenia brighamii,"Commonly known as nanu, na'u, or forest gardenia, is a species of flowering plant in the coffee family, Rubiaceae, that is endemic to Hawaii. It is a small tree, reaching a height of 16 ft. The glossy, dark green leaves are ovate. The petals of the solitary, white flowers are fused at the base and have six lobes."
45,Gomphrena globosa,"Commonly known as globe amaranth, makhmali, and vadamalli, is an edible plant from the family Amaranthaceae. The round-shaped flower inflorescences are a visually dominant feature and cultivars have been propagated to exhibit shades of magenta, purple, red, orange, white, pink, and lilac. Within the flowerheads, the true flowers are small and inconspicuous."
46,Guaiacum officinale,"Commonly known as roughbark lignum-vitae, guaiacwood or gaïacwood, is a species of tree in the caltrop family named Zygophyllaceae. This small tree is very slow growing, reaching about 33 ft in height. The tree is essentially evergreen throughout most of its native range. The blue flowers have five petals that yield a bright-yellow-orange fruit with red flesh and black seeds."
47,Harpullia pendula,"Known as the tulipwood or tulip lancewood, is a small to medium-sized rainforest tree. The tree's size, pleasant form and attractive fruit ensures its popularity of this ornamental tree. Tulipwood occurs in various types of rainforest, by streams or dry rainforests on basaltic or alluvial soils. In tropical and sub tropical rainforest. "
48,Hedychium coronarium,"Commonly known as white garland-lily or white ginger lily, is a perennial flowering plant in the Zingiberaceae (ginger) family. It is commonly cultivated in warm temperate and subtropical regions of the world as an ornamental and cultivated in China for use in medicine and production of aromatic oil due to its strong characteristic fragrance of the flowers said to be reminiscent of jasmine."
49,Hemigraphis alternata,"Also known as red ivy, red-flame ivy, or waffle plant, is a member of the Acanthaceae family. It is a prostrate plant with purple colored leaves. The leaves are hairy and opposite, and one leaf of a pair is much larger than the other.  The flowers of the plant grow from where the leaf meets the stem, and are white with purple penciling."
